名字,类型,注册地点,利率,上线时间,注册资金,存管方式,债权转让,投标保障,保障模式,评分
51财融融,民营系,浙江·宁波,9.74%,2017-07-08,12000万元,无存管,不可转让,-,平台垫付,3.2
安心de利,风投系,北京·朝阳,7.8%,2014-07-31,1712万元,无存管,1个月,-,融资性担保公司,3.8
蜂硕金融,民营系,天津·南开,8.69%,2016-04-26,2000万元,无存管,1年,风险准备金垫付,小贷公司、融资性担保公司、保理公司、融资租赁,3.8
前沿财富,民营系,广东·深圳,15.16%,2015-10-08,10000万元（实缴资金：2000万元）,无存管,1个月,风险保证金,融资租赁,4.2
糖果金融,民营系,北京·丰台,10.35%,2014-12-31,5000万元（实缴资金：5000万元）,用户资金存管存管机构为海口联合农商银行,不可转让,担保公司、车房足额抵押,网贷行业中介机构,4.4
众隆金服,民营系,安徽·合肥,11.85%,2014-08-01,3000万元（实缴资金：1300万元）,无存管,不可转让,风险备付金,信息中介平台,1.7
粒子财富,民营系,四川·成都,12.76%,2015-04-28,2000万元（实缴资金：2000万元）,用户资金存管存管机构为华兴银行,随时,实物质押,平台垫付,4.1
中融通贷,国资参股贵州国家公园投资控股集团有限公司持有平台股份,贵州·贵阳,15.5%,2014-03-08,5000万元（实缴资金：1000万元）,无存管,不可转让,-,融资性担保公司,4.1
创融在线,民营系,四川·宜宾,13.13%,2013-11-08,1000万元,无存管,不可转让,-,-,2.7
金e柴神,民营系,广东·广州,11.92%,2013-07-08,2000万元（实缴资金：2000万元）,用户资金存管存管机构为华兴银行,不可转让,-,融资性担保公司,3.6
银强金融,民营系,浙江·台州,10.09%,2016-07-19,5000万元（实缴资金：5000万元）,无存管,-,保证人提供连带责任保证担保,平台垫付、服务过错保证金,4
鼎信贷,民营系自然人控股及企业控股,浙江·温州,12.02%,2012-12-24,10000万元（实缴资金：2617万元）,用户资金存管存管机构为恒丰银行,不可转让,-,无条件债权回购,4
掌中财富,民营系,广东·深圳,10.8%,2015-04-22,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,随时,担保公司垫付,非融资性担保公司,4
粤盛金融,上市参股A股公司华侨城持有平台股份,广东·深圳,10.25%,2017-10-16,5000万元（实缴资金：5000万元）,无存管,随时,-,金融服务中介,4.6
车富88,民营系,广东·深圳,10.21%,2015-01-15,6500万元（实缴资金：2800万元）,无存管,1个月,保障方为项目提供全额本息债权回购,小贷公司、融资租赁,4.1
就爱金融网,民营系,广东·深圳,8.49%,2015-09-08,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,1个月,-,非融资性担保公司,4.5
汇投网,国资控股金马甲金服控股有限公司持有平台67%股份,北京·平谷,9.88%,2014-06-03,10000万元（实缴资金：4000万元）,用户资金存管存管机构为华兴银行,1个月,融资性担保,融资性担保公司、预约登记,3.5
壹心贷,民营系,江西·南昌,9.18%,2013-12-30,5000万元（实缴资金：1020万元）,用户资金存管存管机构为江西银行,不可转让,VIP保本保息,平台垫付,4.5
赶贷网,民营系,浙江·衢州,9.3%,2015-03-03,5001万元,股权代码,支持,不可转让,-,4.4
迅泊达,民营系,湖北·武汉,11.47%,2013-09-09,3000万元（实缴资金：3000万元）,无存管,不可转让,vip保本保息,平台垫付,3.8
融之家,民营系,福建·福州,10.12%,2014-12-19,3000万元,无存管,不可转让,-,-,3.4
无忧车贷,民营系,广东·深圳,13.66%,2015-12-29,10000万元（实缴资金：6000万元）,用户资金存管存管机构为上海银行,不可转让,合作机构担保,多重风控,4.3
来融金服,民营系,江西·南昌,10.62%,2015-05-13,1000万元（实缴资金：880万元）,股权代码,不支持,随时,无,3.8
米缸金融,风投系,上海·浦东,8.56%,2015-02-01,10000万元,用户资金存管存管机构为上海银行,随时,天安财险承保,保险公司、天安财险履约保证保险,3.8
速贷100,民营系,广东·韶关,14.74%,2014-06-08,1000万元（实缴资金：1000万元）,前海股权交易中心股权代码364836,支持,随时,-,4.2
石榴壳,民营系,广东·深圳,9.43%,2015-01-08,2000万元（实缴资金：400万元）,无存管,1个月,无,融资性担保公司,3.8
农信商贷,民营系,北京·丰台,9.22%,2015-05-05,1000万元（实缴资金：1000万元）,用户资金存管存管机构为内蒙古陕坝农商行,不可转让,银行存管、融资担保、担保+仓单质押,融资性担保公司、仓单质押,4.1
吉爱财,民营系,上海·普陀,8.01%,2016-04-12,8000万元,用户资金存管存管机构为上海华瑞银行,随时,账户资金同卡进出,-,3.7
赣商贷,民营系,江西·南昌,15.93%,2014-02-19,2000万元,无存管,不可转让,-,-,3.8
利好贷,民营系,福建·厦门,13.52%,2014-01-08,3000万元（实缴资金：3000万元）,无存管,1个月,-,-,4
众金在线,民营系,广东·深圳,11.39%,2013-07-08,10000万元（实缴资金：8000万元）,用户资金存管存管机构为上海银行,1个月,逾期债权受让,非融资性担保公司、平台垫付,2.7
温易贷,民营系,浙江·温州,14.22%,2014-10-26,1888万元,无存管,-,-,-,0.0点评人数不足点评赚金币
海贷金服,民营系,浙江·杭州,13.8%,2016-03-18,5000万元,无存管,不可转让,vip本息保障计划,车贷,0.0点评人数不足点评赚金币
异享金融,民营系,河南·郑州,14.07%,2015-07-24,3001万元（实缴资金：2731万元）,用户资金存管存管机构为重庆富民银行,随时,无,小贷公司、非融资性担保公司、平台垫付,4.1
爱本地金服,民营系,广东·深圳,8.98%,2015-06-01,5000万元（实缴资金：1000万元）,无存管,随时,-,-,3.5
车能贷,国资参股宁波才富君润一期创业投资合伙企业（有限合伙）持有平台股份,上海·黄浦,12.65%,2014-11-05,1385万元,无存管,不可转让,第三方资金托管,小贷公司,3.4
爱上贷,民营系,湖北·武汉,15.05%,2014-11-25,1000万元,无存管,不可转让,-,平台垫付,3.7
信融投资,民营系,北京·海淀,10.38%,2015-07-23,5000万元（实缴资金：5000万元）,股权代码,支持,随时,投资人保障计划,4.2
红顶金融,民营系,安徽·合肥,10.14%,2014-12-20,10000万元,无存管,2个月,VIP保本保息,平台垫付,4.2
稳贷网,民营系,广东·佛山,18.66%,2014-06-03,3000万元（实缴资金：3000万元）,股权代码,支持,1个月,最迟20天由合作机构承担,3.8
现代众车在线,民营系,广东·深圳,12%,2016-03-26,5000万元（实缴资金：3500万元）,无存管,3个月,-,平台垫付,4.4
平太金服,民营系,河北·石家庄,9.4%,2016-07-23,2000万元（实缴资金：500万元）,用户资金存管存管机构为上海银行,随时,产业链核心企业担保,融资性担保公司,4.5
黔商贷,民营系,贵州·贵阳,11.54%,2015-04-08,10000万元（实缴资金：3000万元）,无存管,不可转让,-,融资性担保公司,4
一点通财富,民营系,广东·广州,13.47%,2015-06-05,3000万元（实缴资金：2000万元）,用户资金存管存管机构为华兴银行,不可转让,第三方机构担保,中介,2.8
有喜财富,民营系,广东·深圳,11.44%,2016-03-25,1000万元（实缴资金：1000万元）,用户资金存管存管机构为华兴银行,不可转让,债权抵押，第三方公司担保,小贷公司,4.5
微镇,民营系,广东·深圳,10.7%,2015-04-11,1385万元（实缴资金：900万元）,无存管,随时,-,供应链金融,4.2
融通资产,国资控股赣州发展投资有限公司持有平台60%股份,江西·赣州,9.26%,2014-01-22,2000万元（实缴资金：2000万元）,用户资金存管存管机构为江西银行,1个月,-,-,3.3
众金所,民营系,北京·朝阳,13.16%,2013-11-18,9999万元（实缴资金：5000万元）,用户资金存管存管机构为内蒙古陕坝农商行,不可转让,-,平台垫付,4.6
惠恩资本,民营系,新疆·乌鲁木齐,11.46%,2015-11-15,1000万元（实缴资金：1000万元）,无存管,随时,-,平台垫付,4.5
简易贷,民营系,广东·广州,14.19%,2015-08-08,8000万元（实缴资金：1000万元）,用户资金存管存管机构为海口联合农商银行,不可转让,-,-,4.4
广富宝,民营系,广东·深圳,13.4%,2013-07-24,5020万元（实缴资金：1000万元）,用户资金存管存管机构为江西银行,随时,第三方担保机构承保,网络借贷中介平台,3.8
信贷通,民营系,河北·石家庄,12.03%,2015-04-09,5000万元（实缴资金：5000万元）,用户资金存管存管机构为上海银行,不可转让,付息还本等额本息到期本息,非融资性担保公司,3.8
小平贷,民营系,吉林·白城,11.5%,2015-04-25,2000万元（实缴资金：1000万元）,股权代码,支持,1个月,无,4.2
前海广深发,民营系,广东·深圳,14.41%,2015-05-08,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,不可转让,足额抵押物保障,非融资性担保公司,4.1
零用贷,民营系,上海·嘉定,12.23%,2015-04-20,10000万元（实缴资金：2000万元）,用户资金存管存管机构为上海银行,-,风险备用金,小贷公司、平台垫付,3.7
便民投,民营系,辽宁·大连,10.22%,2016-02-01,3000万元（实缴资金：1500万元）,用户资金存管存管机构为恒丰银行,不可转让,-,-,3.3
虎融宝,民营系,江苏·南京,10.51%,2016-08-08,5000万元,无存管,随时,风险缓释金,融资性担保公司,0.0点评人数不足点评赚金币
德众金融,国资参股安徽新力金融股份有限公司持有平台67.5%股份,安徽·合肥,7.8%,2014-06-06,2000万元（实缴资金：2000万元）,用户资金存管存管机构为徽商银行,随时,-,融资性担保公司,4.2
普天贷,民营系,北京·海淀,10.52%,2013-05-27,3000万元,无存管,随时,-,-,3.3
盈金所,民营系,湖北·武汉,14.92%,2015-05-18,3000万元,无存管,不可转让,-,平台垫付,3.7
车赚,民营系,河南·新乡,12.99%,2016-03-23,1080万元,股权代码,支持,3个月,-,4.4
皓添金融,民营系,湖北·武汉,12.35%,2015-06-15,5000万元（实缴资金：5000万元）,无存管,随时,抵押物,融资性担保公司,4.5
鸿学金信,民营系,四川·成都,10.93%,2014-09-20,500万元（实缴资金：475万元）,用户资金存管存管机构为遂宁银行,1个月,无,借贷中介,3.7
惠富天下,民营系,湖南·长沙,9.71%,2014-03-29,5000万元（实缴资金：5000万元）,无存管,不可转让,-,-,0.0点评人数不足点评赚金币
淘淘金,民营系,广东·深圳,8%,2014-10-21,5000万元（实缴资金：5000万元）,用户资金存管存管机构为广发银行,不可转让,太平洋账户保险、第三方担保,网络借贷信息中介平台,2.9
浙江车贷网,民营系,浙江·杭州,10.75%,2014-01-20,1000万元（实缴资金：1000万元）,无存管,不可转让,-,平台垫付,4
融资易,民营系,广东·广州,11.24%,2014-09-26,1500万元（实缴资金：1500万元）,用户资金存管存管机构为新网银行,随时,有效抵押或有效的第三方担保人,小贷公司、非融资性担保公司,3.2
合盘金服,风投系,上海·浦东,10.28%,2013-04-01,20000万元（实缴资金：10000万元）,用户资金存管存管机构为厦门国际银行,-,-,-,3.8
捷创贷,民营系,浙江·杭州,10.03%,2014-09-24,1000万元（实缴资金：500万元）,无存管,随时,VIP本金保障,小贷公司,0.0点评人数不足点评赚金币
链链金融,民营系,北京·朝阳,6.25%,2017-01-03,1000万元,股权代码,-,随时,第三方担保,3.3
乐投创富,民营系,福建·福州,14.11%,2015-04-01,3000万元（实缴资金：3000万元）,用户资金存管存管机构为厦门国际银行,随时,-,小贷公司、平台垫付,4
网筹金融,民营系,北京·海淀,9.07%,2014-07-30,5000万元（实缴资金：947万元）,用户资金存管存管机构为河北银行,不可转让,融资性担保公司提供本息保障,融资性担保公司,4
开鑫贷,银行系国家开发银行,江苏·南京,6.55%,2012-12-28,14024万元,用户资金存管存管机构为江苏银行,1个月,担保机构担保,小贷公司、非融资性担保公司、票据质押,3.6
码头益,民营系,辽宁·大连,8.46%,2014-03-19,1000万元,无存管,3个月,本息保障,融资性担保公司、保险公司,4.3
私房投,民营系,山东·淄博,13.97%,2015-04-08,2018万元（实缴资金：183万元）,股权代码,不支持,随时,担保,0.0点评人数不足点评赚金币
天涯好收益,民营系,北京·海淀,12.56%,2014-04-23,5000万元,用户资金存管存管机构为徽商银行,1个月,-,-,2.6
袋鼠妈妈,民营系,江苏·无锡,8.55%,2015-04-21,6000万元（实缴资金：3000万元）,股权代码,支持,-,-,3.4
方元金服,民营系,陕西·西安,6.61%,2014-11-25,3340万元,用户资金存管存管机构为西安银行,随时,担保公司,小贷公司、融资性担保公司,0.0点评人数不足点评赚金币
优投金服,民营系,广东·广州,10.75%,2015-05-18,3000万元（实缴资金：3000万元）,用户资金存管存管机构为海口联合农商银行,1个月,-,多重风控及法律保障,3.3
海鸥金服,民营系,上海·普陀,10%,2016-10-10,5000万元,无存管,-,-,小贷公司,3.9
鼎诚创投,民营系,广东·深圳,11.74%,2014-11-14,5000万元（实缴资金：5000万元）,股权代码,不支持,不可转让,风险准备金,3.9
178网贷,民营系,湖北·武汉,14.69%,2015-01-28,10000万元（实缴资金：5000万元）,无存管,随时,融资性担保公司进行担保,融资性担保公司,2.9
贴身贷,民营系,北京·昌平,10.15%,2016-03-01,3000万元,无存管,3个月,-,平台垫付,0.0点评人数不足点评赚金币
众联财富,民营系,四川·成都,13.04%,2014-12-15,2000万元（实缴资金：500万元）,无存管,不可转让,质押车处置，抵押车回收处置,平台垫付、保险公司、质押车违约处置，抵押车回收处置,3.6
乐享宝,国资参股中经互联（北京）信息技术有限公司持有平台20%股份,福建·厦门,9.93%,2015-12-24,5000万元（实缴资金：5000万元）,用户资金存管存管机构为厦门国际银行,随时,资产合作方对提供标的担保、海峡保险提供车贷标的履约险,小贷公司、P2B,4.5
珠宝贷,上市参股A股公司金一文化等共同共持有平台4.66%股份,广东·深圳,10.83%,2014-09-23,43000万元,主板、中小板股权代码002731,支持,随时,第三方担保,3.3
众可贷,民营系,四川·成都,12.21%,2014-11-18,5000万元,用户资金存管存管机构为天府银行,随时,无,网络借贷信息中介机构,3.9
多啦聚财,民营系,广东·深圳,8.86%,2014-12-17,10000万元（实缴资金：2000万元）,无存管,随时,平台不承担任何坏账风险，贷款提供方回购所有逾期债权,小贷公司、非融资性担保公司、平台垫付,4.4
介贷网,民营系自然人股东,湖南·长沙,9%,2014-08-01,2000万元（实缴资金：2000万元）,用户资金存管存管机构为江西银行,不可转让,足额实物抵押担保，借款人提供自然人或企业担保,-,3.9
优聚投,民营系,北京·朝阳,12.51%,2014-12-24,2000万元（实缴资金：2000万元）,无存管,不可转让,-,债权+股权,4.2
医购贷,民营系,江苏·南京,11.1%,2014-11-18,4000万元（实缴资金：4000万元）,无存管,3个月,风险准备金,平台垫付,4.4
金晟创投,民营系,山西·太原,12%,2017-09-18,5000万元,无存管,不可转让,-,-,4
中储贷,民营系,河南·郑州,12.86%,2015-04-15,3001万元（实缴资金：1000万元）,用户资金存管存管机构为中原银行,不可转让,实物质押,网贷信息中介,4
精融汇,民营系,广东·深圳,7.09%,2015-04-15,5000万元（实缴资金：3000万元）,无存管,1个月,华安保险、长安责任保险、富德产险承保,保险公司,3.8
即利网,民营系,北京·朝阳,9.42%,2015-02-06,1000万元（实缴资金：1000万元）,无存管,随时,-,融资性担保公司、保理公司,4.4
你好贷,民营系,福建·厦门,9.17%,2015-04-09,5000万元（实缴资金：2200万元）,无存管,不可转让,-,融资性担保公司,4.2
光合种子,民营系,北京·大兴,9.5%,2015-07-01,5000万元（实缴资金：5000万元）,用户资金存管存管机构为海口联合农商银行,1个月,-,p2p,3.9
快捷财富,民营系,广东·东莞,15.76%,2015-06-06,5000万元（实缴资金：5000万元）,用户资金存管存管机构为上饶银行,1个月,-,小贷公司,3.6
鼠贷金融,民营系,上海·闸北,11.5%,2015-06-18,1000万元（实缴资金：1000万元）,用户资金存管存管机构为上海华瑞银行,不可转让,第三方垫付,-,4.2
沃要投,民营系,广东·深圳,9.48%,2015-04-01,5000万元（实缴资金：1800万元）,用户资金存管存管机构为华兴银行,随时,-,平台垫付,0.0点评人数不足点评赚金币
厚本金融,民营系,上海·普陀,10.89%,2015-05-01,3060万元,用户资金存管存管机构为厦门银行,-,-,-,2.8
多维度,民营系,江苏·南京,9%,2015-09-01,1000万元（实缴资金：1000万元）,用户资金存管存管机构为上海银行,随时,房产抵押担保,担保商户，商户保证金,4.7
海星宝理财,民营系,福建·泉州,13.91%,2015-01-20,3200万元,用户资金存管存管机构为徽商银行,不可转让,-,平台垫付、融资租赁,3.5
九金所,民营系,江苏·南京,11.11%,2014-09-03,2000万元（实缴资金：1400万元）,股权代码,不支持,1个月,房产抵押,3.9
e资产,民营系,湖南·长沙,13.4%,2016-04-20,13000万元,无存管,3个月,第三方回购,资产过户,4
深创金服,民营系,湖北·武汉,10%,2016-06-01,5000万元,无存管,随时,-,小贷公司、非融资性担保公司、平台垫付,3.1
中平金融,国资参股北京领先创融网络科技有限公司持有平台股份,上海·青浦,6.97%,2016-03-28,10000万元（实缴资金：2000万元）,用户资金存管存管机构为浙商银行,不可转让,-,网络借贷,0.0点评人数不足点评赚金币
橙天金融,民营系,浙江·杭州,10.54%,2014-11-25,5000万元（实缴资金：5000万元）,用户资金存管存管机构为上海银行,2个月,红木抵质押担保、非关联方担保人担保,红木原材料、红木家具成品/半成品、红木原材料海运提单等抵质押,3.9
太空马,民营系,广东·深圳,10.73%,2016-07-18,10000万元（实缴资金：2000万元）,无存管,1个月,债权收购,非融资性担保公司,4.2
银承派,国资参股深圳中科育成中心管理有限公司持有平台股份,广东·广州,9.03%,2015-04-08,5263万元（实缴资金：5263万元）,用户资金存管存管机构为新网银行,3个月,-,P2F,4.3
58红利,民营系,北京·东城,8.39%,2014-12-20,1000万元,无存管,随时,VIP保本保息,信息中介,3.7
华人金融,民营系,广东·深圳,10%,2015-01-15,100000万元（实缴资金：20000万元）,无存管,1个月,合作第三方担保。第三方合作机构在担保范围内向投资人代偿尚未偿还的本金、利息等相关款项。,第三方担保,3.5
集利财富,民营系,广东·佛山,8.46%,2013-08-28,10000万元（实缴资金：1000万元）,无存管,1个月,第三方机构担保,小贷公司、融资性担保公司,3.6
58财福,民营系,江苏·无锡,7.8%,2014-04-26,5000万元（实缴资金：2000万元）,用户资金存管存管机构为上海银行,随时,-,风控保障,3.4
爱鸿森,股权上市自然人股东,四川·成都,7.98%,2014-05-18,7000万元（实缴资金：7000万元）,纳斯达克市场股权代码AIHS,支持,随时,第三方担保机构承保,4
通通理财,民营系,浙江·杭州,10.31%,2016-04-10,10000万元,股权代码,支持,12个月,-,4.2
恩科e贷,民营系,河北·石家庄,8.75%,2016-06-25,5000万元（实缴资金：5000万元）,用户资金存管存管机构为遂宁银行,不可转让,抵押担保、质押担保,第三方资产管理公司垫付,3.4
用呗金融,民营系,广东·广州,13.01%,2015-07-01,2000万元（实缴资金：2000万元）,无存管,不可转让,-,互联网金融信息中介服务平台,0.0点评人数不足点评赚金币
几何金融,民营系,广东·深圳,8.25%,2016-01-15,10000万元（实缴资金：10000万元）,用户资金存管存管机构为上海银行,不可转让,-,融资性担保公司,0.0点评人数不足点评赚金币
包公有财,上市参股A股达华智能公司持有平台20%股份,安徽·合肥,9.23%,2016-08-01,5000万元（实缴资金：5000万元）,中小板股权代码002512,-,-,-,4.1
诚投在线,民营系,湖北·武汉,14.3%,2015-02-10,5000万元（实缴资金：500万元）,无存管,1个月,-,融资性担保公司,3.3
贷贷兴隆,国资控股重庆兴农融资担保集团有限公司持有平台70%股份,重庆·渝中,6.27%,2014-01-06,2000万元（实缴资金：2000万元）,用户资金存管存管机构为浙商银行,1个月,担保公司担保,融资性担保公司,3.5
分钱网,民营系,北京·朝阳,12%,2015-04-03,10000万元（实缴资金：10000万元）,无存管,不可转让,-,小贷公司,3.9
合伙人金融,民营系,广东·深圳,10.91%,2015-04-15,5000万元（实缴资金：1000万元）,无存管,不可转让,VIP保本保息,平台垫付,3.8
憨豆金服,民营系,四川·成都,9.78%,2013-03-06,1000万元（实缴资金：1000万元）,无存管,随时,-,小贷公司,0.0点评人数不足点评赚金币
惠车贷,民营系,浙江·宁波,13.63%,2013-12-19,2000万元,无存管,-,-,-,3.5
建工E贷,民营系,湖南·长沙,12.15%,2014-12-03,5000万元,无存管,随时,100％本息垫付,平台垫付,0.0点评人数不足点评赚金币
金柜贷,民营系,山东·青岛,8.9%,2014-10-09,2000万元（实缴资金：2000万元）,无存管,1个月,-,平台垫付,4.7
乐投贷,民营系,福建·泉州,14.53%,2013-10-18,1000万元,无存管,3个月,-,-,3.7
联豪创投,民营系,江西·赣州,10.46%,2014-02-17,1200万元,无存管,1个月,-,-,3.6
理财范,风投系,北京·朝阳,11.6%,2014-03-20,12567万元（实缴资金：11600万元）,用户资金存管存管机构为徽商银行,随时,第三方担保,-,4
秒贷金融,民营系,北京·丰台,7.9%,2015-03-02,5000万元（实缴资金：1000万元）,用户资金存管存管机构为徽商银行,1个月,-,-,4.2
钱贷网,民营系,广东·深圳,9.98%,2012-12-24,5000万元（实缴资金：3000万元）,用户资金存管存管机构为华兴银行,1个月,-,小贷公司、平台垫付,4
钱途在线,民营系,广东·深圳,12.36%,2014-11-22,10000万元（实缴资金：10000万元）,用户资金存管存管机构为华兴银行,不可转让,无,-,4.2
融商贷,民营系,福建·福州,13.73%,2015-03-18,3000万元,无存管,随时,质保服务金,小贷公司,4
荣通宝投资,民营系,北京·东城,8.36%,2016-01-01,5000万元,无存管,不可转让,担保公司对本息先行垫付,非融资性担保公司,4.5
瑞银创投,民营系,江苏·泰州,12.53%,2011-08-25,1550万元,前海股权交易中心股权代码363904,支持,随时,-,2.5
沃时贷,风投系,江苏·南京,13.87%,2013-11-01,3750万元,无存管,1个月,-,-,3.3
天添钱,民营系,广东·惠州,12%,2014-12-11,3000万元（实缴资金：3000万元）,无存管,随时,保本保息,融资性担保公司、非融资性担保公司,3.3
皖都金融,民营系,安徽·合肥,12.36%,2013-08-18,3430万元,用户资金存管存管机构为贵州银行,不可转让,本息垫付,保理公司,3.4
为为贷,民营系,辽宁·沈阳,11.85%,2014-12-24,2000万元（实缴资金：1250万元）,用户资金存管存管机构为海口联合农商银行,不可转让,-,投资理财信息咨询,4.4
蜗牛在线,民营系,宁夏·银川,13.66%,2016-06-14,5000万元,无存管,-,-,-,0.0点评人数不足点评赚金币
喜投网,民营系,广东·深圳,12.28%,2014-05-08,1023万元（实缴资金：1023万元）,无存管,随时,实物抵押,机构担保/足额抵押,3.1
赢众投,民营系,北京·海淀,9.98%,2016-01-18,2500万元,用户资金存管存管机构为昆山农商银行,1个月,托管方无限连带,产业金融,0.0点评人数不足点评赚金币
真鑫贷,民营系,江西·赣州,12.84%,2013-08-18,1000万元,无存管,1个月,足额质押,足额抵押,4
沃时贷,风投系,江苏·南京,13.87%,2013-11-01,3750万元,无存管,1个月,-,-,3.3
小梦想,民营系,北京·怀柔,-%,2015-01-24,500万元,无存管,3个月,-,平台垫付,0.0点评人数不足点评赚金币
平乐贷,民营系,四川·成都,-%,2014-09-09,5000万元,无存管,1个月,保本保息,-,2.3
信富创投,民营系,山东·潍坊,-%,2015-07-25,5000万元,无存管,不可转让,平台垫付,平台垫付,0.0点评人数不足点评赚金币
沃时贷,风投系,江苏·南京,13.87%,2013-11-01,3750万元,无存管,1个月,-,-,3.3
小梦想,民营系,北京·怀柔,-%,2015-01-24,500万元,无存管,3个月,-,平台垫付,0.0点评人数不足点评赚金币
平乐贷,民营系,四川·成都,-%,2014-09-09,5000万元,无存管,1个月,保本保息,-,2.3
信富创投,民营系,山东·潍坊,-%,2015-07-25,5000万元,无存管,不可转让,平台垫付,平台垫付,0.0点评人数不足点评赚金币
汇付四海,国资参股云南瀚海星云投资管理有限公司持有平台100%股份,云南·昆明,11%,2014-10-16,1000万元,用户资金存管存管机构为新网银行,随时,-,融资性担保公司、法律援助金,0.0点评人数不足点评赚金币
巨石财富,民营系,湖北·武汉,13.2%,2014-09-23,1000万元,无存管,-,-,-,0.0点评人数不足点评赚金币
大家贷,民营系,山东·青岛,40%,2014-07-14,100万元,无存管,-,-,-,0.0点评人数不足点评赚金币
汇隆财富,民营系,浙江·宁波,-%,2014-09-01,7000万元,无存管,-,-,-,0.0点评人数不足点评赚金币
开元金服,民营系,江西·上饶,-%,2016-08-08,2000万元（实缴资金：2000万元）,无存管,-,VIP保本保息,小贷公司,4.1
六顺财富,民营系,浙江·宁波,-%,2016-03-15,10000万元,无存管,-,-,-,3.8
米融网,民营系,浙江·丽水,19.2%,2014-04-01,1000万元（实缴资金：1000万元）,创业板挂牌股权代码858018,不支持,不可转让,针对投资人100％的本息保障,0.0点评人数不足点评赚金币
亿宝贷,民营系,上海·浦东,-%,2015-03-21,120000万元（实缴资金：120000万元）,无存管,不可转让,借款方提供担保,融资性担保公司、p2p网贷平台,3.2
城城理财,民营系,浙江·杭州,12.4%,2013-05-23,20000万元（实缴资金：16000万元）,用户资金存管存管机构为海口联合农商银行,2个月,-,非融资性担保公司,3.4
小喵理财,国资控股西安市长安新发展进出口贸易实业公司持有平台100%股份,浙江·杭州,8.4%,2017-05-15,2000万元,股权代码,不支持,不可转让,第三方担保公司,4.2
